,Racquet,Head Size (in),Length,Strung Weight (oz),Strung Weight (g),Balance,Balance Number,HH or HL,Swingweight,Stiffness,Power Level,Stroke Style,Swing Speed,Mains,Crosses,Minimum String Tension,Maximum String Tension
178,Prince O3 Legacy 105,105,27.25,10.4,295,0,0,Bal,321,67,Medium-High,Compact-Medium,Slow-Moderate,16,19,53,63
179,Prince O3 Legacy 110,110,27.25,10.1,286,3,3,HH,327,73,Medium,Medium,Medium,16,19,53,63
180,Prince O3 Legacy 120,120,27.25,9.7,275,5,5,HH,328,72,High,Compact,Slow,16,19,55,65
181,Prince Twistpower X100,100,27,10.8,306,-4,4,HL,314,66,Low-Medium,Medium-Full,Medium-Fast,16,18,45,55
182,Tecnifibre TF-X1 300,100,27,11.1,315,-4,4,HL,323,71,Low-Medium,Medium-Full,Medium-Fast,16,19,49,55
183,Tecnifibre TF-X1 285,100,27,10.5,298,-2,2,HL,316,71,Low-Medium,Medium-Full,Medium-Fast,16,19,49,55
184,Tecnifibre TF-X1 275,105,27,10.2,289,-1,1,HL,310,69,Low-Medium,Medium-Full,Medium-Fast,16,19,49,55
185,Tecnifibre TRebound 298 IGA,98,27,11,312,-4,4,HL,319,71,Low-Medium,Medium-Full,Medium-Fast,16,19,50,55
186,Tecnifibre TFight 305 RS,98,27,11.4,323,-3,3,HL,333,67,Low-Medium,Full,Fast,18,19,50,55
187,Tecnifibre TFight 315 RS,98,27,11.7,332,-7,7,HL,321,69,Low-Medium,Medium-Full,Medium-Fast,16,19,49,55
188,Tecnifibre TFight 300 RS,98,27,11.2,318,-4,4,HL,320,66,Low-Medium,Medium-Full,Medium-Fast,16,19,49,55
189,Tecnifibre TFight 295 RS,100,27,11,312,-3,3,HL,318,70,Low-Medium,Medium-Full,Medium-Fast,16,19,49,55
190,Tecnifibre TF40 305,98,27,11.3,320,-3,3,HL,326,64,Low,Full,Fast,18,20,49,55
191,Tecnifibre TF40 315,98,27,11.8,335,-7,7,HL,323,64,Low,Full,Fast,18,20,49,55
192,Tecnifibre TFlash 300 CES,100,27,11.3,320,-6,6,HL,320,72,Low-Medium,Medium-Full,Medium-Fast,16,19,49,55
193,Dunlop CX 200 Tour 18x20,95,27,11.7,332,-7,7,HL,319,62,Low,Full,Fast,18,20,45,65
194,Dunlop CX 200 Tour 16x19,95,27,11.5,326,-7,7,HL,318,63,Low-Medium,Medium-Full,Medium-Fast,16,19,45,65
195,Dunlop CX 400 Tour,100,27,11.2,318,-4,4,HL,322,66,Low-Medium,Medium-Full,Medium-Fast,16,19,45,65
196,Dunlop CX 200,98,27,11.4,323,-6,6,HL,317,64,Low-Medium,Medium-Full,Medium-Fast,16,19,45,65
197,Dunlop CX 200 OS,105,27,11,312,-3,3,HL,313,61,Low-Medium,Medium-Full,Medium-Fast,16,19,40,60
198,Dunlop CX 400,100,27,10.7,303,-1,1,HL,319,71,Low-Medium,Medium-Full,Medium-Fast,16,19,40,60
199,Dunlop FX 500,100,27,11.2,318,-4,4,HL,314,71,Low-Medium,Medium-Full,Medium-Fast,16,19,45,65
200,Dunlop FX 500 Tour,98,27,11.4,323,-6,6,HL,318,69,Low-Medium,Medium-Full,Medium-Fast,16,19,45,65
201,Dunlop FX 500 LS,100,27,10.6,301,-3,3,HL,300,71,Low-Medium,Medium-Full,Medium-Fast,16,19,45,65
202,Dunlop FX 500 Lite,100,27,10,283,-1,1,HL,293,70,Low-Medium,Medium-Full,Medium-Fast,16,19,45,65
203,Dunlop FX 700,107,27.5,9.8,278,0,0,Bal,321,68,Medium,Medium,Medium,16,19,40,60
204,Dunlop SX 300 Tour,100,27,11.7,332,-6,6,HL,336,65,Low-Medium,Compact-Medium,Medium-Fast,16,19,45,65
205,Dunlop SX 300,100,27,11.3,320,-4,4,HL,326,65,Low-Medium,Compact-Medium,Medium-Fast,16,19,45,65
206,Dunlop SX 300 Lite,100,27,10.2,289,-2,2,HL,302,67,Low-Medium,Compact-Medium,Medium-Fast,16,19,45,65
207,Dunlop SX 300 LS,100,27,10.8,306,-3,3,HL,318,68,Low-Medium,Compact-Medium,Medium-Fast,16,19,45,65
208,Dunlop SX 600,105,27.25,10.2,289,-1,1,HL,313,66,Medium,Medium,Medium,16,19,40,60
209,Dunlop LX 800,110,27.5,9.6,272,5,5,HH,307,74,Medium-High,Compact-Medium,Slow-Moderate,16,18,40,55
210,Dunlop LX 1000,115,27.5,9.5,269,6,6,HH,321,75,High,Compact,Slow,16,18,40,55
211,Volkl V-Cell 10 300g,98,27,11.1,315,-3,3,HL,311,69,Low-Medium,Medium-Full,Medium-Fast,16,19,50,60
212,Volkl V-Cell 10 320g,98,27,11.8,335,-7,7,HL,319,67,Low-Medium,Medium-Full,Medium-Fast,16,19,50,60
213,Volkl V-Cell 8 315g,100,27,11.5,326,-7,7,HL,315,66,Low-Medium,Medium-Full,Medium-Fast,16,18,50,60
214,Volkl V-Cell 8 300g,100,27,11,312,-5,5,HL,312,67,Low-Medium,Medium-Full,Medium-Fast,16,18,50,60
215,Volkl V-Cell 8 285g,100,27,10.5,298,-4,4,HL,303,70,Low-Medium,Medium-Full,Medium-Fast,16,18,50,60
216,Volkl V-Cell 9,100,27,11.5,326,-6,6,HL,317,68,Low-Medium,Medium-Full,Medium-Fast,16,19,50,60
217,Volkl V-Cell 1,115,27.8,9.6,272,4,4,HH,312,70,Medium-High,Compact-Medium,Slow-Moderate,16,17,48,58
218,Volkl V-Cell 3,110,27.8,10,283,-2,2,HL,313,69,Medium-High,Compact-Medium,Slow-Moderate,16,19,46,60
219,Volkl V-Cell 5,100,27,9.8,278,-1,1,HL,287,69,Low-Medium,Medium-Full,Medium-Fast,16,18,50,60
220,Volkl V-Cell 4,105,27.6,10.2,289,-5,5,HL,304,68,Medium,Medium,Medium,16,19,46,60
221,Volkl V-Cell 6,100,27,10.2,289,-2,2,HL,303,69,Low-Medium,Medium-Full,Medium-Fast,16,19,50,60
222,Volkl V-Cell 2,115,27.6,10,283,2,2,HH,322,71,Medium-High,Compact-Medium,Slow-Moderate,16,19,46,60
223,Volkl V-Feel V8 Pro,100,27,11.2,318,-6,6,HL,316,67,Low,Full,Fast,18,20,50,60
224,Volkl V-Feel V1 Pro,99,27,11.3,320,-3,3,HL,323,69,Low-Medium,Medium-Full,Medium-Fast,16,19,50,60
225,Volkl V-Feel V1 MP,102,27,10.6,301,-3,3,HL,307,68,Low-Medium,Medium-Full,Medium-Fast,16,19,50,60
226,Volkl V-Feel V1 OS,110,27.6,10.7,303,-5,5,HL,312,68,Medium-High,Compact-Medium,Medium-Fast,16,19,50,60
227,Volkl V-Feel 5,100,27,9.8,278,-1,1,HL,296,69,Low-Medium,Medium-Full,Medium-Fast,16,18,50,60
228,Volkl V-Feel 7,104,27.3,10.8,306,-3,3,HL,321,71,Medium,Medium,Medium,16,19,50,60
229,Volkl V-Feel 10 (320),98,27,11.9,337,-6,6,HL,323,66,Low,Full,Fast,16,19,50,60
230,Volkl V-Feel 10 (300),98,27,11.2,318,-3,3,HL,312,69,Low,Full,Fast,16,19,50,60
231,Volkl V-Feel 2,115,27.6,10,283,2,2,HH,317,68,Medium-High,Compact-Medium,Slow-Moderate,16,19,46,60
232,Volkl C10 Pro,98,27,12.3,349,-8,8,HL,330,64,Low,Full,Fast,16,19,50,60
233,Volkl V1 Classic,102,27,10.8,306,-1,1,HL,318,69,Low-Medium,Medium-Full,Medium-Fast,16,19,50,60
